country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.33,1.16,1.33,0.89,1.14,1.11,0.9,0.89,0.9,0.83,0.39,0.41,,0.12,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,17.7,21.8,21,19.3,,,13.6,12.9,13.8,14.5,21.1,20.7,17.1,14.4,11.1
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,,,,,65,,,,,45.2,,,,,,,45.6
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08,7.47,6.22,6.21,4.8,5.25,4.23,4.18,4.62,2.1,1.58,1.81,1.17,1.4,1.42,1.1,0.75,0.63,0.57,0.62,0.66,0.42
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,,,5.9,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,3.71,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,4.35,3.55,3.62,4.37,4.57,4.2,3.92,3.98,2.68,1.92,1.9,1.76,1.49,1.46,1.45,1.36,1.43,1.1,1.09
Luxembourg,,,,,,,,,,,,,,7.68,6.37,5.81,4.48,4.85,4.43,4.13,4.12,3.96,2.61,3.52,3.04,3.35,1.84,1.49,1.38,1.53,1.29,1.14,1.33,0.36,0.77,0.6,0.42,0.34,0.5,1.01,0.74,0.58,0.66,0.64,0.55,1.03,1.09,0.73
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,12,16.2,16.5,21.8,19.2,18.1,12,16.7,17,14.9,16.6,16,16.5,14.9,13.9,14.4,13.9,12.3,10.1,10.9
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,,,,,,,,51.9,,73,,,,,63.4,,60.8,,,59.4,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,13.8,12.4,12,11.8,11.1,10.3,9.63,9.58,9.65,8.52,9.02,8.83,8.07,7.92,7.69,7.32,8.49,8.32,8.17,8.18,7.67,
Maldives,,,,,,,,,,,,,,,,,,,,,6.58,,,,,12.2,,,,,3.36,,,,,,22.9,,,,,,,,8.93,,3.95,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,46.7,34.1,,,,,,,41.2,27.9,41.1,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09
